sentence
rabi lamichhane wins chitwan 2 54276 votes 43025 closest rival rabi lamichhane wins chitwan 2 54276 votes 43025 closest rival rastriya swatantra party president rabi lamichhane byelection chitwan 2 constituency elected house representatives election november 2022 . time lamichhane increased number votes obtained difference closest rival .
per officials lamichhane received 54276 votes 43025 closest rival jit narayan shrestha nepali congress .
ram prasad neupane cpnuml third order got 10936 votes .
november elections lamichhane received 49300 votes 14988 votes received umesh shrestha nepali congress .
supreme court revoked house membership citizenship legitimacy issue lamichhane forced obtain back citizenship prepare byelection .
rabi lamichhane swarnim wagle take oath lawmakers upendra yadav absent rabi lamichhane swarnim wagle take oath lawmakers upendra yadav absent two three lawmakers elected recent byelections–rabi lamichhane swarnim wagle–have taken oath office secrecy members house representatives .
lamichhane wagle leaders rastriya swatantra party elected chitwan 2 tanahun 1 respectively sworn speaker dev raj ghimire function organised kathmandu friday morning .
third lawmaker upendra yadav chairman janata samajbadi party nepal elected bara 2 absent .
meanwhile rsp president lamichhane said party would join government present circumstances .
subscribe onlinekhabar english get notified exclusive news stories .
commission registers rabi lamichhane ’ national independent party gives bell election symbol commission registers rabi lamichhane ’ national independent party gives bell election symbol election commission approved formation new political party named national independent party led popular former journalist rabi lamichhane .
although complaint registered proposed name party commission approved .
constitutional body awarded registration certificate lamichhane friday .
lamichhane says nepal independent party received bell within circle election symbol .
“ political party registered .
go people ” lamichhane says “ far got chance tell public things party .
continue sharing views them.
” subscribe onlinekhabar english get notified exclusive news stories .
rabi lamichhane announces nepal independent party rabi lamichhane announces nepal independent party television personality rabi lamichhane announced formation new party – nepal independent party programme held rastriya sabha griha kathmandu monday .
election symbol party bell .
lamichhane yet say would contesting next parliamentary elections .
also urged independent candidates join party .
rabi lamichhane said form party collect proportional representational votes country .
rabi lamichhane exits tv enter politics rabi lamichhane exits tv enter politics popular television presenter rabi lamichhane announced contest forthcoming federal elections .
lamichhane says host programme june 21 rastriya sabha griha officially announce candidacy elections expected held around november .
“ contest election constituency kathmandu . ?
’ announce june 21 .
’ also announce ’ contesting election independently forming new party ” said .
following rabi lamichhane also resigned post managing director galaxy 4k tv .
subscribe onlinekhabar english get notified exclusive news stories .
